locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Oliwa,al. Grunwaldzka,3,61,999000,16377,Oferta biura nieruchomości,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-al-grunwaldzka-3-pokojowe-f4i0b0,https://s2.adresowa.pl/oi/54/6e/3adc42_acbd_cover-3-pokojowe-mieszkanie-gdansk-oliwa-al-grunwaldzka.jpg
Gdańsk Orunia,ul. Platynowa,2,38,572268,15024,Oferta biura nieruchomości,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-platynowa-2-pokojowe-h9y7g7,https://s2.adresowa.pl/oi/12/4b/3ad95e_3607_cover-2-pokojowe-mieszkanie-gdansk-orunia-ul-platynowa.jpg
Gdańsk Aniołki,ul. Księcia Józefa Poniatowskiego,3,66,975000,14773,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-gdansk-aniolki-ul-ksiecia-jozefa-poniatowskiego-3-pokojowe-w6y5e3,https://s2.adresowa.pl/oi/79/71/3b0736_4c4a_cover-3-pokojowe-mieszkanie-gdansk-aniolki-ul-ksiecia-jozefa-poniatowskiego.jpg
Gdańsk Wrzeszcz,ul. Grudziądzka,3,65,1300000,20037,Bez pośredników,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-grudziadzka-3-pokojowe-q1d3z8,https://s2.adresowa.pl/oi/13/5d/3b071c_b837_cover-3-pokojowe-mieszkanie-gdansk-wrzeszcz-ul-grudziadzka.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Zaspa,ul. Sportowa,5,85,980000,11529,Bez pośredników,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-gdansk-zaspa-ul-sportowa-5-pokojowe-m5q6z4,https://s2.adresowa.pl/oi/18/35/3b0716_f613_cover-5-pokojowe-mieszkanie-gdansk-zaspa-ul-sportowa.jpg
Gdańsk Oliwa,ul. Artura Grottgera,2,50,1259961,25164,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-artura-grottgera-2-pokojowe-h3y8k9,https://s2.adresowa.pl/oi/16/2c/3ad936_823a_cover-2-pokojowe-mieszkanie-gdansk-oliwa-ul-artura-grottgera.jpg
Gdańsk Osowa,ul. Orfeusza,2,48,580000,12211,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-gdansk-osowa-ul-orfeusza-2-pokojowe-y1j8o5,https://s2.adresowa.pl/oi/36/25/3ad8e8_fa8d_cover-2-pokojowe-mieszkanie-gdansk-osowa-ul-orfeusza.jpg
Gdańsk Piecki,ul. Dolne Migowo,2,35,649000,18703,Bez pośredników,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-gdansk-piecki-ul-dolne-migowo-2-pokojowe-n9m4q3,https://s2.adresowa.pl/oi/5c/28/3b0676_32f2_cover-2-pokojowe-mieszkanie-gdansk-piecki-ul-dolne-migowo.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Ujeścisko,ul. Pastelowa,3,52,669000,12865,Bez pośredników,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-pastelowa-3-pokojowe-d7t4b1,https://s2.adresowa.pl/oi/39/37/3b03e6_e692_cover-3-pokojowe-mieszkanie-gdansk-ujescisko-ul-pastelowa.jpg
Gdańsk Przymorze,ul. Olsztyńska,2,43,989000,23271,Bez pośredników,ponad tydzień temu,34,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-olsztynska-2-pokojowe-k5k8i2,https://s2.adresowa.pl/oi/4b/65/3b01b8_2ee9_cover-2-pokojowe-mieszkanie-gdansk-przymorze-ul-olsztynska.jpg
