locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Katowice Piotrowice,ul. Szewska,3,63,510000,8043,Bez pośredników,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-katowice-piotrowice-ul-szewska-3-pokojowe-n8n0q6,https://s2.adresowa.pl/oi/6f/78/3ae482_579e_cover-3-pokojowe-mieszkanie-katowice-piotrowice-ul-szewska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Katowice os. Witosa,ul. Wincentego Witosa,2,48,399000,8313,Oferta biura nieruchomości,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-katowice-os-witosa-ul-wincentego-witosa-2-pokojowe-m2q2k9,https://s2.adresowa.pl/oi/2d/7c/39d75c_e084_cover-2-pokojowe-mieszkanie-katowice-os-witosa-ul-wincentego-witosa.jpg
Katowice Śródmieście,ul. Juliusza Słowackiego,1,28,336000,12000,Oferta biura nieruchomości,ponad miesiąc temu,4,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-ul-juliusza-slowackiego-1-pokoj-j8b6z8,https://s2.adresowa.pl/oi/48/73/39d536_7c8d_cover-1-pokojowe-mieszkanie-katowice-srodmiescie-ul-juliusza-slowackiego.jpg
Katowice Giszowiec,ul. Karliczka,2,32,220000,6875,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-katowice-giszowiec-ul-karliczka-2-pokojowe-w0c6b2,https://s2.adresowa.pl/oi/32/28/3ae11a_436d_cover-2-pokojowe-mieszkanie-katowice-giszowiec-ul-karliczka.jpg
Katowice os. Tysiąclecia,ul. Piastów,2,55,399000,7228,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-katowice-os-tysiaclecia-ul-piastow-2-pokojowe-k3x7z6,https://s2.adresowa.pl/oi/6f/32/3adc36_5dfc_cover-2-pokojowe-mieszkanie-katowice-os-tysiaclecia-ul-piastow.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Katowice os. Tysiąclecia,ul. Tysiąclecia,2,45,689000,15311,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-katowice-os-tysiaclecia-ul-tysiaclecia-2-pokojowe-k4f8m6,https://s2.adresowa.pl/oi/43/67/3ad418_5a61_cover-2-pokojowe-mieszkanie-katowice-os-tysiaclecia-ul-tysiaclecia.jpg
