locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Kraków Stare Miasto,ul. Szlak,1,28,770000,27500,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-ul-szlak-1-pokoj-e9n3c5,https://s2.adresowa.pl/oi/10/44/3b0cb8_6c07_cover-1-pokojowe-mieszkanie-krakow-stare-miasto-ul-szlak.jpg
Kraków Płaszów,ul. Golikówka,3,52,823654,15800,Oferta biura nieruchomości,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-golikowka-3-pokojowe-n3c2v3,https://s2.adresowa.pl/oi/27/69/3b0910_f86a_cover-3-pokojowe-mieszkanie-krakow-plaszow-ul-golikowka.jpg
Kraków Łagiewniki-Borek Fałęcki,ul. Aleksandra Fredry,2,47,799000,17000,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-krakow-lagiewniki-borek-falecki-ul-aleksandra-fredry-2-pokojowe-t3u6o3,https://s2.adresowa.pl/oi/1d/45/3afa72_4036_cover-2-pokojowe-mieszkanie-krakow-lagiewniki-borek-falecki-ul-aleksandra-fredry.jpg
Kraków Prądnik Czerwony,ul. Promienistych,3,54,755000,13981,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-krakow-pradnik-czerwony-ul-promienistych-3-pokojowe-y7u6r2,https://s2.adresowa.pl/oi/78/5b/3af822_a7b9_cover-3-pokojowe-mieszkanie-krakow-pradnik-czerwony-ul-promienistych.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Płaszów,ul. Myśliwska,4,62,zapytaj o cenę,,Bez pośredników,,24,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-mysliwska-4-pokojowe-y9l6w3,https://s2.adresowa.pl/development/671244/nowe-mieszkania-city-vibe-f7f8_cover.jpg
Kraków Płaszów,ul. Golikówka,3,62,916268,14800,Oferta biura nieruchomości,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-golikowka-3-pokojowe-x3a3m2,https://s2.adresowa.pl/oi/64/2d/3b090a_fdd5_cover-3-pokojowe-mieszkanie-krakow-plaszow-ul-golikowka.jpg
Kraków Płaszów,ul. Golikówka,3,62,899772,14550,Oferta biura nieruchomości,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-golikowka-3-pokojowe-c7j9e7,https://s2.adresowa.pl/oi/41/1e/3b08fc_eb1b_cover-3-pokojowe-mieszkanie-krakow-plaszow-ul-golikowka.jpg
Kraków Podgórze Duchackie,ul. Łużycka,2,46,711984,15600,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-luzycka-2-pokojowe-y5p3s9,https://s2.adresowa.pl/oi/24/6a/3af7be_f338_cover-2-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-luzycka.jpg
Kraków Stare Miasto,ul. Starowiślna,4,90,1685000,18741,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-ul-starowislna-4-pokojowe-t0i6x4,https://s2.adresowa.pl/oi/21/37/3af600_c0fe_cover-4-pokojowe-mieszkanie-krakow-stare-miasto-ul-starowislna.jpg
Kraków Bieżanów,ul. Henryka i Karola Czeczów,4,74,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow-4-pokojowe-f8r5e4,https://s2.adresowa.pl/development/449945/nowe-mieszkania-sloneczne-miasteczko-c8e4_cover.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Płaszów,ul. Golikówka,3,59,868168,14800,Oferta biura nieruchomości,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-golikowka-3-pokojowe-c2t6h5,https://s2.adresowa.pl/oi/7c/7e/3b0902_f366_cover-3-pokojowe-mieszkanie-krakow-plaszow-ul-golikowka.jpg
Kraków,ul. Aleksandry,3,62,950000,15232,Oferta biura nieruchomości,ponad tydzień temu,22,https://adresowo.pl/o/mieszkanie-krakow-ul-aleksandry-3-pokojowe-l8y0p9,https://s2.adresowa.pl/oi/34/50/3b05ba_427a_cover-3-pokojowe-mieszkanie-krakow-ul-aleksandry.jpg
